Title,Product Link,Image URL,Rating,Ratings & Reviews,Price,Original Price,Discount,Key Features,Exchange Offer,Bank Offer,Timestamp
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAR749MF&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-OLpGWNrhIqKCIBhOB8J2l-7NGitmIv19gMwKdvIp7F104IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.9,346 Ratings & 33 Reviews,"₹9,499","₹16,298",41% off,"['MediaTek Kompanio 520 Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '29.46 cm (11.6 Inch) Display', '1 Year Carry-in Warranty']","Upto 
₹8,700
 Off on Exchange",Bank Offer,2025-07-21 19:09:26
HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,https://www.flipkart.com/hp-chromebook-intel-celeron-dual-core-n4120-4-gb-64-gb-emmc-storage-chrome-os-14a-ca0506tu/p/itmb2e03ff1f9366?pid=COMGBHKFAYHEMVAT&lid=LSTCOMGBHKFAYHEMVATTMWBVX&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-ML-2U-pwTkUtaeaokpPGmQDCjsPj5zGuR77J0ugOtXAYQEIsITtCzc4bHaOMTqL08%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/c/f/-original-imah4sspuxggtusq.jpeg?q=70,3.9,"1,931 Ratings & 158 Reviews","₹17,990","₹32,295",44% off,"['Intel Celeron Dual Core Processor', '4 GB LPDDR4 RAM', '64 bit Chrome Operating System', '35.56 cm (14 Inch) Touchscreen Display', '1 Year Onsite Warranty']","Upto 
₹17,000
 Off on Exchange",Bank Offer,2025-07-21 19:09:26
HP 15 Intel Celeron Dual Core 12th Gen -N4500 - (8 GB/256 GB SSD/Windows 11 Pro) 250 G9 Laptop,https://www.flipkart.com/hp-15-intel-celeron-dual-core-12th-gen-n4500-8-gb-256-gb-ssd-windows-11-pro-250-g9-laptop/p/itm6929dbff87f98?pid=COMHCZFNKPRFHKHN&lid=LSTCOMHCZFNKPRFHKHNHJ68DI&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHCZFNKPRFHKHN.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/z/o/250-g9-laptop-hp-original-imahczfnxwzvecxj.jpeg?q=70,4.1,21 Ratings & 4 Reviews,"₹23,500","₹31,000",24% off,"['Intel Celeron Dual Core Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 inch) Display', 'Domestic']",,Bank Offer,2025-07-21 19:09:27
HP 15 G10 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light...,https://www.flipkart.com/hp-15-g10-2025-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm4b28b4db440f0?pid=COMH9ZS5WUN6S3H5&lid=LSTCOMH9ZS5WUN6S3H59IZ1T9&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMH9ZS5WUN6S3H5.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/a/9/15-g10-thin-and-light-laptop-hp-original-imah9zs5gw5c7myz.jpeg?q=70,4.3,"1,572 Ratings & 193 Reviews","₹29,750","₹49,999",40% off,"['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office 2021, Windows 11 Home', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:27
HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 255 G10 Thin and Light Lapto...,https://www.flipkart.com/hp-255-g10-amd-athlon-dual-core-7120u-8-gb-256-gb-ssd-windows-11-home-thin-light-laptop/p/itm0994d96e22416?pid=COMHBCNY8DX2T7HY&lid=LSTCOMHBCNY8DX2T7HYWUKEYT&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHBCNY8DX2T7HY.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/j/x/255-g10-thin-and-light-laptop-hp-original-imahbcnytdxhgmgu.jpeg?q=70,4.1,31 Ratings & 2 Reviews,"₹24,700","₹35,990",31% off,"['AMD Athlon Dual Core Processor', '8 GB LPDDR5 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:27
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1405cka-nk0154/p/itmdf634cde7dec2?pid=COMHDDZ7PYJZSGUZ&lid=LSTCOMHDDZ7PYJZSGUZKERLBX&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-PFf28K7VVwrVbCUkFkroAf9mE9RvfaYo5RcYjIwFS0jDRKtQQVWB8eNWYNLe7VuyQ%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/i/m/-original-imahdh2st3kwr6qc.jpeg?q=70,4.4,5 Ratings & 0 Reviews,"₹14,990","₹32,990",54% off,"['Intel Celeron Dual Core Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '35.56 cm (14 Inch) Display', 'MyASUS', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:28
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) fd0129TU / fd0186TU Thin an...,https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-fd0129tu-fd0186tu-thin-light/p/itmcf7c16556a324?pid=COMHF6WAGPZCBQVZ&lid=LSTCOMHF6WAGPZCBQVZPP4MLX&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHF6WAGPZCBQVZ.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/7/i/-original-imahdvrt3ar5vdgg.jpeg?q=70,4.1,393 Ratings & 26 Reviews,"₹36,990","₹50,903",27% off,"['Intel Core i3 Processor (13th Gen)', '8 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Carry-in Warranty']","Upto 
₹25,000
 Off on Exchange",Bank Offer,2025-07-21 19:09:28
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU Thin and Lig...,https://www.flipkart.com/hp-mso-2024-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-15-fd0574tu-thin-light-laptop/p/itm9126a589d1667?pid=COMHBFRJEWGN4FMY&lid=LSTCOMHBFRJEWGN4FMYJDMODS&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHBFRJEWGN4FMY.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/7/i/-original-imahdvrt3ar5vdgg.jpeg?q=70,4.1,393 Ratings & 26 Reviews,"₹39,490","₹54,479",27% off,"['Intel Core i3 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:28
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq3066TU Thin and Light Lapt...,https://www.flipkart.com/hp-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-15s-fq3066tu-thin-light-laptop/p/itm973a47e6377c8?pid=COMGSB2RFTGDGBTF&lid=LSTCOMGSB2RFTGDGBTFEFZJFW&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMGSB2RFTGDGBTF.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/w/c/-original-imahcd9hrgcrdkfu.jpeg?q=70,3.8,990 Ratings & 78 Reviews,"₹27,891","₹31,999",12% off,"['Intel Celeron Dual Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']",,,2025-07-21 19:09:28
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHPIK65Z&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMGBH9JDPVGD8BH.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/a/a/-original-imahcd9zcpenszva.jpeg?q=70,4.2,"8,366 Ratings & 598 Reviews","₹35,990","₹54,552",34% off,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:29
